,u,v,w,x,y,z
387,10.196,2.0299,0.033743,99.038,17.5,10.285
388,8.6436,3.7824,0.010569,100.64,17.5,10.285
389,6.7801,6.5864,-0.001017,102.24,17.5,10.285
390,6.7801,7.2874,-0.012604,103.85,17.5,10.285
391,10.196,4.8339,-0.082124,105.45,17.5,10.285
392,8.6436,4.8339,-0.14006,107.05,17.5,10.285
393,7.0907,6.2359,-0.25592,108.66,17.5,10.285
394,6.1589,3.4319,-0.24434,110.26,17.5,10.285
395,6.1589,-1.8257,-0.082124,111.86,17.5,10.285
396,6.7801,-4.6298,-0.047364,113.46,17.5,10.285
397,8.6436,-3.5782,-0.16323,115.07,17.5,10.285
398,8.9541,-1.4752,-0.23275,116.67,17.5,10.285
399,9.2647,-2.1762,-0.17482,118.27,17.5,10.285
400,8.6436,-4.6298,-0.047364,119.87,17.5,10.285
401,8.6436,-8.1348,0.10326,121.48,17.5,10.285
402,9.2647,-13.392,0.31182,123.08,17.5,10.285
403,11.128,-17.598,0.5088,124.68,17.5,10.285
404,14.234,-15.846,0.4161,126.29,17.5,10.285
405,17.029,-6.3823,-0.047364,127.89,17.5,10.285
406,18.893,0.62783,-0.41814,129.49,17.5,10.285
407,20.135,0.97834,-0.47607,131.09,17.5,10.285
408,20.446,-1.4752,-0.41814,132.7,17.5,10.285
409,20.756,-3.9287,0.10326,134.3,17.5,10.285
410,21.377,6.5864,-0.71939,70.188,17.5,11.428
411,21.067,6.2359,-0.17482,71.791,17.5,11.428
412,20.756,5.5349,-0.12847,73.393,17.5,11.428
413,20.446,4.8339,-0.093711,74.996,17.5,11.428
414,20.446,4.4834,-0.058951,76.599,17.5,11.428
415,20.446,4.1329,-0.047364,78.202,17.5,11.428
416,20.446,3.7824,-0.047364,79.805,17.5,11.428
417,20.446,3.4319,-0.082124,81.407,17.5,11.428
418,19.824,3.0814,-0.1053,83.01,17.5,11.428
419,18.893,2.7309,-0.1053,84.613,17.5,11.428
420,18.272,2.7309,-0.082124,86.216,17.5,11.428
421,17.029,2.7309,-0.093711,87.819,17.5,11.428
422,16.719,2.7309,-0.082124,89.421,17.5,11.428
423,16.408,2.3804,-0.1053,91.024,17.5,11.428
424,15.476,2.3804,-0.11688,92.627,17.5,11.428
425,15.166,2.0299,-0.058951,94.23,17.5,11.428
426,14.855,0.97834,0.033743,95.833,17.5,11.428
427,14.545,-0.073181,0.091676,97.435,17.5,11.428
428,12.681,1.6793,0.080089,99.038,17.5,11.428
429,10.818,3.4319,0.080089,100.64,17.5,11.428
430,8.9541,6.9369,0.080089,102.24,17.5,11.428
431,8.9541,7.6379,0.045329,103.85,17.5,11.428
432,12.681,5.5349,-0.047364,105.45,17.5,11.428
433,12.06,5.5349,-0.12847,107.05,17.5,11.428
434,10.818,7.2874,-0.25592,108.66,17.5,11.428
435,9.2647,4.4834,-0.25592,110.26,17.5,11.428
436,8.6436,-1.4752,-0.093711,111.86,17.5,11.428
437,9.5753,-4.2792,-0.070537,113.46,17.5,11.428
438,11.439,-2.1762,-0.1864,115.07,17.5,11.428
439,11.439,-0.073181,-0.25592,116.67,17.5,11.428
440,12.06,-0.77419,-0.1864,118.27,17.5,11.428
441,12.06,-3.9287,-0.058951,119.87,17.5,11.428
442,12.371,-7.4338,0.10326,121.48,17.5,11.428
443,12.992,-13.042,0.32341,123.08,17.5,11.428
444,15.476,-18.299,0.53197,124.68,17.5,11.428
445,19.203,-15.846,0.43928,126.29,17.5,11.428
446,22.62,-4.2792,-0.070537,127.89,17.5,11.428
447,24.173,3.7824,-0.47607,129.49,17.5,11.428
448,24.483,4.1329,-0.54559,131.09,17.5,11.428
449,24.483,0.97834,-0.47607,132.7,17.5,11.428
450,24.794,-2.1762,0.022156,134.3,17.5,11.428
451,24.483,7.6379,-0.68463,70.188,17.5,12.571
452,23.862,7.2874,-0.16323,71.791,17.5,12.571
453,23.862,6.2359,-0.11688,73.393,17.5,12.571
454,23.862,5.1844,-0.082124,74.996,17.5,12.571
455,23.862,4.8339,-0.047364,76.599,17.5,12.571
